experiment_name,algorithm,scenario,topology,num_packets,packet_size_bytes,t_round_ms,cooldown_ms,lambda_div,point_budget,total_packets_sent,total_packets_received,total_packets_lost,total_packets_unaccounted,packet_loss_rate_percent,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,total_path_switches,wall_clock_seconds
lowest_hop_count__path_failure_recovery__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_hop_count,path_failure_recovery,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,25939,7181,0,18758,0.0,40724.0516,40442.0047,76712.0523,90379.0103,40.0002,94525.0108,0,5.069
lowest_latency__path_failure_recovery__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_latency,path_failure_recovery,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,25939,7181,0,18758,0.0,40724.0516,40442.0047,76712.0523,90379.0103,40.0002,94525.0108,0,4.876
random__path_failure_recovery__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,random,path_failure_recovery,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,25939,7398,0,18541,0.0,39244.3012,38574.0045,79663.0091,91258.0067,40.0002,94321.0061,58,5.019
round_robin__path_failure_recovery__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,round_robin,path_failure_recovery,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,25939,6559,0,19380,0.0,40113.115,39868.0273,75703.0516,88780.0042,40.0002,94686.0108,76,4.892
sapex__path_failure_recovery__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,sapex,path_failure_recovery,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,25939,8189,0,17750,0.0,41474.414,41129.0281,79873.0085,91178.0104,41.0002,94340.0061,47,6.877
lowest_hop_count__shared_bottleneck__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_hop_count,shared_bottleneck,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,337917,1116,0,336801,0.0,48762.3698,48791.0033,95183.0063,100550.0066,310.0002,105014.0069,0,13.832
lowest_latency__shared_bottleneck__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_latency,shared_bottleneck,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,337917,1092,0,336825,0.0,49662.5546,49240.0033,95408.0068,100974.0066,310.0002,104899.008,0,13.256
random__shared_bottleneck__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,random,shared_bottleneck,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,337917,1176,0,336741,0.0,47034.8001,46354.0032,94634.0062,99475.0113,311.0002,104361.0068,199,13.898
round_robin__shared_bottleneck__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,round_robin,shared_bottleneck,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,337917,474,0,337443,0.0,38077.5533,33101.0017,89955.0082,96449.0076,355.0002,97062.0082,239,13.389
sapex__shared_bottleneck__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,sapex,shared_bottleneck,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,337917,1182,0,336735,0.0,48673.494,48637.0039,94781.0063,98972.0002,311.0002,104731.0081,147,15.331
lowest_hop_count__thundering_herd__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_hop_count,thundering_herd,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,242342,1088,0,241254,0.0,50898.7939,49134.0041,105219.0114,112244.0128,274.0002,114729.0131,0,11.887
lowest_latency__thundering_herd__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,lowest_latency,thundering_herd,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,242342,1088,0,241254,0.0,50898.7939,49134.0041,105219.0114,112244.0128,274.0002,114729.0131,0,10.432
random__thundering_herd__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,random,thundering_herd,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,242342,1176,0,241166,0.0,48671.5313,45426.0053,103365.011,109293.0125,349.0002,112965.0086,197,11.529
round_robin__thundering_herd__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,round_robin,thundering_herd,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,242342,1033,0,241309,0.0,52601.6188,52110.0047,103381.0101,111228.0085,292.0002,114449.0104,269,11.756
sapex__thundering_herd__sciera_large__np5000_tr2000_cd5000_ld0.5_b100,sapex,thundering_herd,topologies/sciera_large.json,5000,1500,2000,5000,0.5,100,242342,1177,0,241165,0.0,47478.0993,43806.0035,103703.0112,110635.0129,272.0002,113972.013,165,11.869
