flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
SB-OVGU-to-KAIST,34133,64,0,34069,0.0,51199500,104957.01,3.9025,0,857.0002,104793.0068,47097.0187,46086.0031,100001.0065,104793.0068,33306.3676
SB-TUB-to-NUS,34133,68,0,34065,0.0,51199500,102002.01,4.0156,0,602.0002,101747.0067,49260.1061,44741.003,100550.0066,101747.0067,34173.2597
SB-LMU-to-UTokyo,34133,96,0,34037,0.0,51199500,105277.01,3.8907,0,727.0002,105014.0069,50937.472,51749.0035,100675.0066,105014.0069,32191.4795
SB-KIT-to-NUS,30720,0,0,30720,0.0,46080000,0,0,0,0,0,0,0,0,0,0
SB-ETHZ-to-KAIST,30720,33,0,30687,0.0,46080000,99727.01,3.6965,0,607.0002,99662.0079,11910.2131,5140.0005,80585.0064,99662.0079,22813.5448
SB-Sorbonne-to-UTokyo,30720,0,0,30720,0.0,46080000,0,0,0,0,0,0,0,0,0,0
SB-KAIST-to-OVGU,23893,551,0,23342,0.0,35839500,99910.01,2.8697,0,310.0002,99360.0066,49766.731,49835.0034,94437.0062,98472.0002,28680.3655
SB-UTokyo-to-LMU,23893,110,0,23783,0.0,35839500,99607.01,2.8785,0,907.0003,99498.0065,50167.3032,50652.0034,95003.0062,98599.0065,28860.2343
SB-CMU-to-NUS,23893,165,0,23728,0.0,35839500,97172.01,2.9506,0,4887.0008,96507.0081,50502.3009,51758.0002,91980.0077,95316.008,26618.0875
SB-MIT-to-UTokyo,23893,29,0,23864,0.0,35839500,96307.01,2.9771,0,7265.001,96220.008,51693.866,53206.0041,92024.0077,96220.008,28250.6074
SB-Columbia-to-KAIST,23893,0,0,23893,0.0,35839500,0,0,0,0,0,0,0,0,0,0
SB-USC-to-NUS,23893,0,0,23893,0.0,35839500,0,0,0,0,0,0,0,0,0,0
