flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
SB-OVGU-to-KAIST,34133,59,0,34074,0.0,51199500,103757.01,3.9476,0,857.0002,103595.0068,49058.3253,48782.0033,100001.0065,103595.0068,31966.4695
SB-TUB-to-NUS,34133,73,0,34060,0.0,51199500,105162.01,3.8949,0,602.0002,104899.008,49077.6745,38346.0027,103243.0067,104899.008,35941.9845
SB-LMU-to-UTokyo,34133,94,0,34039,0.0,51199500,104827.01,3.9074,0,727.0002,104565.0068,49404.8969,49804.0033,100226.0066,104565.0068,32174.7369
SB-KIT-to-NUS,30720,0,0,30720,0.0,46080000,0,0,0,0,0,0,0,0,0,0
SB-ETHZ-to-KAIST,30720,0,0,30720,0.0,46080000,0,0,0,0,0,0,0,0,0,0
SB-Sorbonne-to-UTokyo,30720,0,0,30720,0.0,46080000,0,0,0,0,0,0,0,0,0,0
SB-KAIST-to-OVGU,23893,549,0,23344,0.0,35839500,99910.01,2.8697,0,310.0002,99362.0065,49936.6589,50136.0034,94589.0062,98474.0002,28719.3421
SB-UTokyo-to-LMU,23893,109,0,23784,0.0,35839500,99157.01,2.8915,0,907.0003,99049.0065,50065.4987,50203.0034,94554.0062,98150.0064,28741.7447
SB-CMU-to-NUS,23893,177,0,23716,0.0,35839500,97732.01,2.9337,0,411.0002,97026.0079,49349.9416,48301.004,91785.0075,96549.0079,27718.2643
SB-MIT-to-UTokyo,23893,31,0,23862,0.0,35839500,97352.01,2.9451,0,1107.0003,97259.0069,48484.9395,48701.004,93178.0075,97259.0069,28634.4777
SB-Columbia-to-KAIST,23893,0,0,23893,0.0,35839500,0,0,0,0,0,0,0,0,0,0
SB-USC-to-NUS,23893,0,0,23893,0.0,35839500,0,0,0,0,0,0,0,0,0,0
