flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
SB-OVGU-to-KAIST,34133,28,0,34105,0.0,51199500,98267.01,4.1682,21,587.0002,98204.0074,25109.4662,11003.0008,81527.0062,98204.0074,28756.8675
SB-TUB-to-NUS,34133,191,0,33942,0.0,51199500,105302.01,3.8897,17,602.0002,104620.0068,47650.3434,46800.0031,99256.0064,104024.0067,32404.3956
SB-LMU-to-UTokyo,34133,44,0,34089,0.0,51199500,103207.01,3.9687,18,487.0002,103105.0078,25359.3882,11510.0002,80671.0061,103105.0078,28614.7508
SB-KIT-to-NUS,30720,0,0,30720,0.0,46080000,0,0,17,0,0,0,0,0,0,0
SB-ETHZ-to-KAIST,30720,0,0,30720,0.0,46080000,0,0,16,0,0,0,0,0,0,0
SB-Sorbonne-to-UTokyo,30720,0,0,30720,0.0,46080000,0,0,16,0,0,0,0,0,0,0
SB-KAIST-to-OVGU,23893,46,0,23847,0.0,35839500,97165.05,2.9508,18,475.0002,97120.0545,14459.3108,3242.0004,78927.0429,97120.0545,25412.1545
SB-UTokyo-to-LMU,23893,643,0,23250,0.0,35839500,99907.01,2.8698,15,307.0002,99265.0064,49955.3313,50086.0033,94347.0061,98221.0063,28608.4277
SB-CMU-to-NUS,23893,0,0,23893,0.0,35839500,0,0,17,0,0,0,0,0,0,0
SB-MIT-to-UTokyo,23893,212,0,23681,0.0,35839500,97747.01,2.9332,13,6546.001,97114.0079,52567.8534,52790.0046,93183.0077,96424.0002,26636.6582
SB-Columbia-to-KAIST,23893,0,0,23893,0.0,35839500,0,0,10,0,0,0,0,0,0,0
SB-USC-to-NUS,23893,0,0,23893,0.0,35839500,0,0,12,0,0,0,0,0,0,0
