flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
SB-OVGU-to-KAIST,34133,12,0,34121,0.0,51199500,54827.0,7.4707,21,707.0002,54805.0043,10128.3342,6578.0006,54805.0043,54805.0043,14652.9806
SB-TUB-to-NUS,34133,19,0,34114,0.0,51199500,60872.0,6.7288,21,512.0002,60836.0048,11420.2114,6019.0005,60836.0048,60836.0048,15718.2819
SB-LMU-to-UTokyo,34133,19,0,34114,0.0,51199500,96487.01,4.2451,21,607.0002,96449.0076,14606.4223,6115.0002,96449.0076,96449.0076,26163.1432
SB-KIT-to-NUS,30720,0,0,30720,0.0,46080000,0,0,20,0,0,0,0,0,0,0
SB-ETHZ-to-KAIST,30720,0,0,30720,0.0,46080000,0,0,20,0,0,0,0,0,0,0
SB-Sorbonne-to-UTokyo,30720,0,0,30720,0.0,46080000,0,0,20,0,0,0,0,0,0,0
SB-KAIST-to-OVGU,23893,94,0,23799,0.0,35839500,89955.01,3.1873,20,355.0002,89862.009,12834.065,7178.0008,69126.0066,89862.009,19100.5399
SB-UTokyo-to-LMU,23893,19,0,23874,0.0,35839500,95137.01,3.0137,20,812.0003,95119.0096,15452.4752,7468.0008,95119.0096,95119.0096,24170.9769
SB-CMU-to-NUS,23893,284,0,23609,0.0,35839500,97952.0,2.9271,19,6110.0015,97055.005,50823.69,50256.0026,91405.0078,96508.0003,25877.9076
SB-MIT-to-UTokyo,23893,27,0,23866,0.0,35839500,97147.01,2.9514,19,8826.0012,97062.0082,55510.6342,56061.005,93825.008,97062.0082,26697.4303
SB-Columbia-to-KAIST,23893,0,0,23893,0.0,35839500,0,0,19,0,0,0,0,0,0,0
SB-USC-to-NUS,23893,0,0,23893,0.0,35839500,0,0,19,0,0,0,0,0,0,0
