flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
SB-OVGU-to-KAIST,34133,94,0,34039,0.0,51199500,102857.01,3.9822,14,707.0002,102599.0067,48568.4818,48885.0033,97512.0063,102599.0067,31271.4091
SB-TUB-to-NUS,34133,118,0,34015,0.0,51199500,104702.01,3.912,17,602.0002,104281.0068,47605.3167,47213.0032,99501.0065,103385.0067,32410.4968
SB-LMU-to-UTokyo,34133,68,0,34065,0.0,51199500,92167.01,4.4441,18,487.0002,92006.007,24168.2224,10626.0008,79655.006,92006.007,27135.4544
SB-KIT-to-NUS,30720,0,0,30720,0.0,46080000,0,0,14,0,0,0,0,0,0,0
SB-ETHZ-to-KAIST,30720,2,0,30718,0.0,46080000,87847.01,4.1964,12,86167.0067,87845.0068,87006.0068,87845.0068,87845.0068,87845.0068,1186.5253
SB-Sorbonne-to-UTokyo,30720,0,0,30720,0.0,46080000,0,0,14,0,0,0,0,0,0,0
SB-KAIST-to-OVGU,23893,659,0,23234,0.0,35839500,99911.01,2.8697,13,311.0002,99253.0065,49780.2551,49782.0034,94485.0062,98365.0002,28611.6898
SB-UTokyo-to-LMU,23893,23,0,23870,0.0,35839500,94942.05,3.0199,15,472.0002,94920.053,20800.402,1811.0003,91531.0509,94920.053,34929.7246
SB-CMU-to-NUS,23893,0,0,23893,0.0,35839500,0,0,4,0,0,0,0,0,0,0
SB-MIT-to-UTokyo,23893,208,0,23685,0.0,35839500,97867.01,2.9296,9,6546.001,97246.008,51795.8264,52074.0045,92715.0076,96292.0079,26348.2817
SB-Columbia-to-KAIST,23893,0,0,23893,0.0,35839500,0,0,11,0,0,0,0,0,0,0
SB-USC-to-NUS,23893,0,0,23893,0.0,35839500,0,0,10,0,0,0,0,0,0,0
