flow_name,latency_ms
Wave1-KIT-to-USC,292.0002
Wave1-KIT-to-USC,546.0002
Wave1-KIT-to-USC,715.0003
Wave1-KIT-to-USC,969.0003
Wave1-KIT-to-USC,1308.0003
Wave1-KIT-to-USC,1477.0003
Wave1-KIT-to-USC,1731.0004
Wave1-KIT-to-USC,1900.0004
Wave1-KIT-to-USC,2154.0004
Wave1-KIT-to-USC,2408.0004
Wave1-KIT-to-USC,2577.0005
Wave1-KIT-to-USC,2831.0005
Wave1-KIT-to-USC,2915.0005
Wave1-KIT-to-USC,3254.0005
Wave1-KIT-to-USC,3508.0006
Wave1-KIT-to-USC,3677.0006
Wave1-KIT-to-USC,3931.0006
Wave1-KIT-to-USC,4015.0006
Wave1-KIT-to-USC,4354.0007
Wave1-KIT-to-USC,4608.0007
Wave1-KIT-to-USC,4692.0007
Wave1-KIT-to-USC,5050.0002
Wave1-KIT-to-USC,5115.0008
Wave1-KIT-to-USC,5454.0008
Wave1-KIT-to-USC,5708.0008
Wave1-KIT-to-USC,5792.0008
Wave1-KIT-to-USC,6132.0002
Wave1-KIT-to-USC,6215.0009
Wave1-KIT-to-USC,6469.0009
Wave1-KIT-to-USC,6808.0009
Wave1-KIT-to-USC,6892.001
Wave1-KIT-to-USC,7231.001
Wave1-KIT-to-USC,7569.001
Wave1-KIT-to-USC,7908.0011
Wave1-KIT-to-USC,8246.0011
Wave1-KIT-to-USC,9032.0002
Wave1-KIT-to-USC,9516.0004
Wave1-KIT-to-USC,10027.0002
Wave1-KIT-to-USC,10193.0009
Wave1-KIT-to-USC,10615.0014
Wave1-KIT-to-USC,10954.0014
Wave1-KIT-to-USC,11377.0015
Wave1-KIT-to-USC,11716.0011
Wave1-KIT-to-USC,12054.0015
Wave1-KIT-to-USC,12477.0016
Wave1-KIT-to-USC,12731.0016
Wave1-KIT-to-USC,13154.0017
Wave1-KIT-to-USC,13408.0017
Wave1-KIT-to-USC,13831.0017
Wave1-KIT-to-USC,14508.0018
Wave1-KIT-to-USC,15015.0019
Wave1-KIT-to-USC,15692.0019
Wave1-KIT-to-USC,16115.002
Wave1-KIT-to-USC,16792.0021
Wave1-KIT-to-USC,17215.0021
Wave1-KIT-to-USC,17469.0021
Wave1-KIT-to-USC,17892.0022
Wave1-KIT-to-USC,18151.0012
Wave1-KIT-to-USC,18569.0023
Wave1-KIT-to-USC,19246.0023
Wave1-KIT-to-USC,19923.0024
Wave1-KIT-to-USC,20346.0025
