flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
Wave1-OVGU-to-CMU,23893,48,0,23845,0.0,35839500,114924.01,2.4948,0,599.0003,114729.0131,49003.7139,42687.005,113626.013,114729.0131,38057.9103
Wave1-TUB-to-MIT,23893,128,0,23765,0.0,35839500,113578.01,2.5244,0,357.0002,113269.0086,48222.2786,43843.0051,107166.0081,112590.0129,35105.9682
Wave1-LMU-to-Columbia,23893,116,0,23777,0.0,35839500,114760.01,2.4984,0,435.0002,114448.0131,52647.9715,51889.006,109023.0125,113346.013,35140.8828
Wave1-KIT-to-USC,23893,218,0,23675,0.0,35839500,114617.01,2.5015,0,292.0002,114097.0131,48828.5191,44714.0052,107920.0124,112574.0129,35006.6167
Wave2-ETHZ-to-CMU,23893,320,0,23573,0.0,35839500,111604.01,2.569,0,274.0002,110381.012,52780.1433,52078.0057,103973.0113,109224.0118,32905.2943
Wave2-Sorbonne-to-Columbia,23893,0,0,23893,0.0,35839500,0,0,0,0,0,0,0,0,0,0
Wave3-KAIST-to-CMU,17066,175,0,16891,0.0,25599000,107284.01,1.9089,0,482.0002,106608.0086,51391.2555,52234.0043,103150.0084,105655.0086,31859.363
Wave3-NUS-to-MIT,17066,24,0,17042,0.0,25599000,104537.01,1.959,0,1457.0003,104472.0084,47144.004,47508.0039,102793.0083,104472.0084,32774.2892
Wave3-UTokyo-to-USC,17066,59,0,17007,0.0,25599000,107797.01,1.8998,0,757.0003,107662.0087,52320.4114,50734.0042,104546.0128,107662.0087,32763.5109
Wave4-OVGU-to-Columbia,13653,0,0,13653,0.0,20479500,0,0,0,0,0,0,0,0,0,0
Wave4-TUB-to-CMU,13653,0,0,13653,0.0,20479500,0,0,0,0,0,0,0,0,0,0
Wave5-KIT-to-MIT,10240,0,0,10240,0.0,15360000,0,0,0,0,0,0,0,0,0,0
Wave5-ETHZ-to-USC,10240,0,0,10240,0.0,15360000,0,0,0,0,0,0,0,0,0,0
