flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
Wave1-OVGU-to-CMU,23893,124,0,23769,0.0,35839500,113479.01,2.5266,17,344.0002,113023.0129,45486.3681,44431.0052,103699.0118,112262.0119,34040.7283
Wave1-TUB-to-MIT,23893,20,0,23873,0.0,35839500,97757.01,2.9329,17,737.0002,97733.0078,13895.6512,4927.0005,97733.0078,97733.0078,25152.3675
Wave1-LMU-to-Columbia,23893,276,0,23617,0.0,35839500,114760.01,2.4984,21,265.0002,114024.013,47417.1938,45246.0053,105393.012,112670.0129,32998.8315
Wave1-KIT-to-USC,23893,33,0,23860,0.0,35839500,101497.01,2.8249,17,607.0002,101456.0081,13502.092,4642.0004,82859.0067,101456.0081,24253.7919
Wave2-ETHZ-to-CMU,23893,319,0,23574,0.0,35839500,111154.01,2.5794,10,184.0002,109936.0119,52467.7671,52078.0057,106289.009,108425.0091,33123.7187
Wave2-Sorbonne-to-Columbia,23893,46,0,23847,0.0,35839500,111930.01,2.5616,21,81669.0068,111793.013,96747.3154,97069.0114,110439.0129,111793.013,8969.7734
Wave3-KAIST-to-CMU,17066,201,0,16865,0.0,25599000,105624.01,1.9389,9,1216.0007,104776.009,50938.2634,48233.0045,102277.0088,104419.009,31781.532
Wave3-NUS-to-MIT,17066,0,0,17066,0.0,25599000,0,0,15,0,0,0,0,0,0,0
Wave3-UTokyo-to-USC,17066,0,0,17066,0.0,25599000,0,0,15,0,0,0,0,0,0,0
Wave4-OVGU-to-Columbia,13653,0,0,13653,0.0,20479500,0,0,16,0,0,0,0,0,0,0
Wave4-TUB-to-CMU,13653,0,0,13653,0.0,20479500,0,0,19,0,0,0,0,0,0,0
Wave5-KIT-to-MIT,10240,0,0,10240,0.0,15360000,0,0,14,0,0,0,0,0,0,0
Wave5-ETHZ-to-USC,10240,0,0,10240,0.0,15360000,0,0,12,0,0,0,0,0,0,0
