flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
Wave1-OVGU-to-CMU,23893,51,0,23842,0.0,35839500,113139.01,2.5342,23,599.0003,112947.0129,50277.7703,50324.0059,104207.0119,112947.0129,35465.045
Wave1-TUB-to-MIT,23893,130,0,23763,0.0,35839500,113578.01,2.5244,23,357.0002,113269.0086,48083.7667,43843.0051,107166.0081,111488.0128,34761.2299
Wave1-LMU-to-Columbia,23893,116,0,23777,0.0,35839500,114761.01,2.4984,23,435.0002,114449.0104,52648.0575,51890.0038,109023.0125,113346.013,35140.9118
Wave1-KIT-to-USC,23893,210,0,23683,0.0,35839500,113937.01,2.5164,23,292.0002,113420.013,47589.2575,43191.0051,105805.0121,111897.0128,34543.4646
Wave2-ETHZ-to-CMU,23893,267,0,23626,0.0,35839500,111934.01,2.5615,22,10986.0003,105874.0104,59082.3687,59764.0055,101512.0099,104805.0103,27088.6821
Wave2-Sorbonne-to-Columbia,23893,0,0,23893,0.0,35839500,0,0,22,0,0,0,0,0,0,0
Wave3-KAIST-to-CMU,17066,179,0,16887,0.0,25599000,107644.01,1.9025,21,364.0002,106965.0087,54239.6748,55810.0046,102671.0084,106606.0087,31352.723
Wave3-NUS-to-MIT,17066,26,0,17040,0.0,25599000,102617.01,1.9957,21,1457.0003,102553.0083,48501.3498,48947.0041,100994.0082,102553.0083,32691.6497
Wave3-UTokyo-to-USC,17066,54,0,17012,0.0,25599000,106717.01,1.919,21,757.0003,106583.0086,49566.0785,49775.0041,97834.0079,106583.0086,31394.7586
Wave4-OVGU-to-Columbia,13653,0,0,13653,0.0,20479500,0,0,19,0,0,0,0,0,0,0
Wave4-TUB-to-CMU,13653,0,0,13653,0.0,20479500,0,0,19,0,0,0,0,0,0,0
Wave5-KIT-to-MIT,10240,0,0,10240,0.0,15360000,0,0,16,0,0,0,0,0,0,0
Wave5-ETHZ-to-USC,10240,0,0,10240,0.0,15360000,0,0,16,0,0,0,0,0,0,0
