flow_name,latency_ms
Wave1-KIT-to-USC,292.0002
Wave1-KIT-to-USC,461.0002
Wave1-KIT-to-USC,630.0003
Wave1-KIT-to-USC,799.0003
Wave1-KIT-to-USC,1067.0002
Wave1-KIT-to-USC,1222.0003
Wave1-KIT-to-USC,1391.0003
Wave1-KIT-to-USC,1561.0003
Wave1-KIT-to-USC,1729.0004
Wave1-KIT-to-USC,1898.0004
Wave1-KIT-to-USC,2067.0004
Wave1-KIT-to-USC,2236.0004
Wave1-KIT-to-USC,2320.0004
Wave1-KIT-to-USC,2574.0005
Wave1-KIT-to-USC,2743.0005
Wave1-KIT-to-USC,2912.0005
Wave1-KIT-to-USC,3082.0005
Wave1-KIT-to-USC,3165.0005
Wave1-KIT-to-USC,3419.0006
Wave1-KIT-to-USC,3589.0002
Wave1-KIT-to-USC,3672.0006
Wave1-KIT-to-USC,3926.0006
Wave1-KIT-to-USC,4010.0006
Wave1-KIT-to-USC,4264.0007
Wave1-KIT-to-USC,4433.0007
Wave1-KIT-to-USC,4517.0007
Wave1-KIT-to-USC,4771.0007
Wave1-KIT-to-USC,4855.0007
Wave1-KIT-to-USC,5043.0002
Wave1-KIT-to-USC,5278.0008
Wave1-KIT-to-USC,5362.0008
Wave1-KIT-to-USC,5616.0008
Wave1-KIT-to-USC,5700.0008
Wave1-KIT-to-USC,5869.0008
Wave1-KIT-to-USC,6125.0002
Wave1-KIT-to-USC,6207.0009
Wave1-KIT-to-USC,6376.0009
Wave1-KIT-to-USC,6545.0009
Wave1-KIT-to-USC,6714.0009
Wave1-KIT-to-USC,6968.001
Wave1-KIT-to-USC,7221.001
Wave1-KIT-to-USC,7559.001
Wave1-KIT-to-USC,7897.0011
Wave1-KIT-to-USC,8235.0011
Wave1-KIT-to-USC,8659.0005
Wave1-KIT-to-USC,9020.0002
Wave1-KIT-to-USC,9334.0012
Wave1-KIT-to-USC,9672.0013
Wave1-KIT-to-USC,9925.0013
Wave1-KIT-to-USC,10348.0013
Wave1-KIT-to-USC,10687.0013
Wave1-KIT-to-USC,11024.0014
Wave1-KIT-to-USC,11277.0014
Wave1-KIT-to-USC,11615.0015
Wave1-KIT-to-USC,12038.0015
Wave1-KIT-to-USC,12376.0016
Wave1-KIT-to-USC,12629.0016
Wave1-KIT-to-USC,12996.0002
Wave1-KIT-to-USC,13305.0017
Wave1-KIT-to-USC,13730.0008
Wave1-KIT-to-USC,13990.0002
Wave1-KIT-to-USC,14319.0018
Wave1-KIT-to-USC,14657.0018
Wave1-KIT-to-USC,14995.0019
Wave1-KIT-to-USC,15333.0019
Wave1-KIT-to-USC,15671.0019
Wave1-KIT-to-USC,16009.002
Wave1-KIT-to-USC,16347.002
Wave1-KIT-to-USC,16600.002
Wave1-KIT-to-USC,17023.0021
Wave1-KIT-to-USC,17361.0021
Wave1-KIT-to-USC,17699.0022
Wave1-KIT-to-USC,17966.0002
Wave1-KIT-to-USC,18292.0002
Wave1-KIT-to-USC,18713.0023
Wave1-KIT-to-USC,19051.0023
Wave1-KIT-to-USC,19305.0012
Wave1-KIT-to-USC,19642.0024
Wave1-KIT-to-USC,19980.0024
Wave1-KIT-to-USC,20403.0025
Wave1-KIT-to-USC,20656.0025
Wave1-KIT-to-USC,20994.0025
Wave1-KIT-to-USC,21333.0024
Wave1-KIT-to-USC,21670.0026
Wave1-KIT-to-USC,22008.0027
Wave1-KIT-to-USC,22346.0027
Wave1-KIT-to-USC,22684.0027
Wave1-KIT-to-USC,23022.0028
Wave1-KIT-to-USC,23275.0028
Wave1-KIT-to-USC,23698.0029
Wave1-KIT-to-USC,24036.0029
Wave1-KIT-to-USC,24376.0002
Wave1-KIT-to-USC,24627.003
Wave1-KIT-to-USC,24965.003
Wave1-KIT-to-USC,25388.003
Wave1-KIT-to-USC,25726.0031
Wave1-KIT-to-USC,25979.0031
Wave1-KIT-to-USC,26317.0032
Wave1-KIT-to-USC,26655.0032
Wave1-KIT-to-USC,27078.0032
Wave1-KIT-to-USC,27331.0033
Wave1-KIT-to-USC,27669.0033
Wave1-KIT-to-USC,28007.0033
Wave1-KIT-to-USC,28345.0034
Wave1-KIT-to-USC,28683.0034
Wave1-KIT-to-USC,29021.0035
Wave1-KIT-to-USC,29359.0035
Wave1-KIT-to-USC,29697.0035
Wave1-KIT-to-USC,29950.0036
Wave1-KIT-to-USC,30373.0036
Wave1-KIT-to-USC,30711.0037
Wave1-KIT-to-USC,31049.0037
Wave1-KIT-to-USC,31302.0037
Wave1-KIT-to-USC,31640.0038
Wave1-KIT-to-USC,32063.0038
Wave1-KIT-to-USC,32485.0039
Wave1-KIT-to-USC,32993.0021
Wave1-KIT-to-USC,33500.0037
Wave1-KIT-to-USC,34006.004
Wave1-KIT-to-USC,34513.0041
Wave1-KIT-to-USC,35022.0022
Wave1-KIT-to-USC,35527.0042
Wave1-KIT-to-USC,36034.0043
Wave1-KIT-to-USC,36542.004
Wave1-KIT-to-USC,37049.0024
Wave1-KIT-to-USC,37470.0044
Wave1-KIT-to-USC,37977.0045
Wave1-KIT-to-USC,38484.0045
Wave1-KIT-to-USC,39077.0025
Wave1-KIT-to-USC,39584.0043
Wave1-KIT-to-USC,40005.0047
Wave1-KIT-to-USC,40512.0048
Wave1-KIT-to-USC,41019.0048
Wave1-KIT-to-USC,41526.0049
Wave1-KIT-to-USC,42033.0049
Wave1-KIT-to-USC,42455.005
Wave1-KIT-to-USC,43047.0051
Wave1-KIT-to-USC,43554.0051
Wave1-KIT-to-USC,44061.0052
Wave1-KIT-to-USC,44568.0052
Wave1-KIT-to-USC,44990.0053
Wave1-KIT-to-USC,45497.0053
Wave1-KIT-to-USC,46004.0054
Wave1-KIT-to-USC,46511.0054
Wave1-KIT-to-USC,47103.0055
Wave1-KIT-to-USC,47525.0056
Wave1-KIT-to-USC,48032.0056
Wave1-KIT-to-USC,48539.0057
Wave1-KIT-to-USC,49046.0057
Wave1-KIT-to-USC,49553.0058
Wave1-KIT-to-USC,49975.0058
Wave1-KIT-to-USC,50482.0059
Wave1-KIT-to-USC,51074.006
Wave1-KIT-to-USC,51581.006
Wave1-KIT-to-USC,52088.0061
Wave1-KIT-to-USC,52510.0061
Wave1-KIT-to-USC,53017.0062
Wave1-KIT-to-USC,53524.0062
Wave1-KIT-to-USC,54031.0063
Wave1-KIT-to-USC,54538.0064
Wave1-KIT-to-USC,55045.0064
Wave1-KIT-to-USC,55552.0065
Wave1-KIT-to-USC,56229.0065
Wave1-KIT-to-USC,56736.0066
Wave1-KIT-to-USC,57329.004
Wave1-KIT-to-USC,57750.0067
Wave1-KIT-to-USC,58257.0068
Wave1-KIT-to-USC,58764.0068
Wave1-KIT-to-USC,59358.0042
Wave1-KIT-to-USC,59863.0069
Wave1-KIT-to-USC,60285.007
Wave1-KIT-to-USC,60792.007
Wave1-KIT-to-USC,61299.0071
Wave1-KIT-to-USC,61806.0072
Wave1-KIT-to-USC,62313.0072
Wave1-KIT-to-USC,62735.0073
Wave1-KIT-to-USC,63327.0073
Wave1-KIT-to-USC,63834.0074
Wave1-KIT-to-USC,64341.0074
Wave1-KIT-to-USC,64933.0075
Wave1-KIT-to-USC,65355.0076
Wave1-KIT-to-USC,65862.0076
Wave1-KIT-to-USC,66369.0077
Wave1-KIT-to-USC,66876.0077
Wave1-KIT-to-USC,67469.0048
Wave1-KIT-to-USC,67890.0078
Wave1-KIT-to-USC,68397.0079
Wave1-KIT-to-USC,68904.008
Wave1-KIT-to-USC,69411.008
Wave1-KIT-to-USC,69918.0081
Wave1-KIT-to-USC,70340.0081
Wave1-KIT-to-USC,70847.0082
Wave1-KIT-to-USC,71439.0082
Wave1-KIT-to-USC,71946.0083
Wave1-KIT-to-USC,72453.0084
Wave1-KIT-to-USC,72875.0084
Wave1-KIT-to-USC,73382.0085
Wave1-KIT-to-USC,73889.0085
Wave1-KIT-to-USC,74396.0086
Wave1-KIT-to-USC,74903.0086
Wave1-KIT-to-USC,75410.0087
Wave1-KIT-to-USC,75917.0088
Wave1-KIT-to-USC,76424.0088
Wave1-KIT-to-USC,76931.0089
Wave1-KIT-to-USC,77438.0089
Wave1-KIT-to-USC,77860.009
Wave1-KIT-to-USC,78367.009
Wave1-KIT-to-USC,78874.0091
Wave1-KIT-to-USC,79466.0092
Wave1-KIT-to-USC,79973.0092
Wave1-KIT-to-USC,80395.0093
Wave1-KIT-to-USC,80902.0093
Wave1-KIT-to-USC,81409.0094
Wave1-KIT-to-USC,81916.0094
Wave1-KIT-to-USC,82423.0095
Wave1-KIT-to-USC,82845.0095
Wave1-KIT-to-USC,83437.0096
Wave1-KIT-to-USC,83944.0097
Wave1-KIT-to-USC,84451.0097
Wave1-KIT-to-USC,84958.0098
Wave1-KIT-to-USC,85380.0098
Wave1-KIT-to-USC,85887.0099
Wave1-KIT-to-USC,86394.0099
Wave1-KIT-to-USC,86901.01
Wave1-KIT-to-USC,87493.0101
Wave1-KIT-to-USC,87915.0101
Wave1-KIT-to-USC,88422.0102
Wave1-KIT-to-USC,88929.0102
Wave1-KIT-to-USC,89436.0103
Wave1-KIT-to-USC,89943.0103
Wave1-KIT-to-USC,90365.0104
Wave1-KIT-to-USC,90872.0104
Wave1-KIT-to-USC,91464.0105
Wave1-KIT-to-USC,91971.0106
Wave1-KIT-to-USC,92478.0106
Wave1-KIT-to-USC,92900.0107
Wave1-KIT-to-USC,93407.0107
Wave1-KIT-to-USC,93914.0108
Wave1-KIT-to-USC,94421.0109
Wave1-KIT-to-USC,94928.0109
Wave1-KIT-to-USC,95435.011
Wave1-KIT-to-USC,95942.011
Wave1-KIT-to-USC,96449.0111
Wave1-KIT-to-USC,96956.0111
Wave1-KIT-to-USC,97492.0002
Wave1-KIT-to-USC,97886.0072
Wave1-KIT-to-USC,98392.0113
Wave1-KIT-to-USC,98900.0105
Wave1-KIT-to-USC,99491.0114
Wave1-KIT-to-USC,99998.0115
Wave1-KIT-to-USC,100421.0107
Wave1-KIT-to-USC,100927.0116
Wave1-KIT-to-USC,101468.0002
Wave1-KIT-to-USC,101943.0076
Wave1-KIT-to-USC,102462.0002
Wave1-KIT-to-USC,102870.0118
Wave1-KIT-to-USC,103463.011
Wave1-KIT-to-USC,103970.0077
Wave1-KIT-to-USC,104476.012
Wave1-KIT-to-USC,104984.0112
Wave1-KIT-to-USC,105405.0121
Wave1-KIT-to-USC,105912.0122
Wave1-KIT-to-USC,106438.0002
Wave1-KIT-to-USC,106926.0123
Wave1-KIT-to-USC,107518.0123
Wave1-KIT-to-USC,107940.0124
Wave1-KIT-to-USC,108447.0124
Wave1-KIT-to-USC,108954.0125
Wave1-KIT-to-USC,109461.0126
Wave1-KIT-to-USC,109968.0126
Wave1-KIT-to-USC,110414.0002
Wave1-KIT-to-USC,110897.0127
Wave1-KIT-to-USC,111489.0128
Wave1-KIT-to-USC,112166.0129
Wave1-KIT-to-USC,112673.0129
Wave1-KIT-to-USC,113180.013
Wave1-KIT-to-USC,113687.013
Wave1-KIT-to-USC,114194.0131
Wave1-LMU-to-Columbia,350.0002
Wave1-LMU-to-Columbia,689.0003
Wave1-LMU-to-Columbia,943.0003
Wave1-LMU-to-Columbia,1282.0003
Wave1-LMU-to-Columbia,1621.0004
Wave1-LMU-to-Columbia,1790.0004
Wave1-LMU-to-Columbia,2129.0004
Wave1-LMU-to-Columbia,2468.0005
Wave1-LMU-to-Columbia,2637.0005
Wave1-LMU-to-Columbia,2976.0005
Wave1-LMU-to-Columbia,3230.0005
Wave1-LMU-to-Columbia,3823.0006
Wave1-LMU-to-Columbia,4331.0007
Wave1-LMU-to-Columbia,4924.0007
Wave1-LMU-to-Columbia,5432.0008
Wave1-LMU-to-Columbia,6025.0009
Wave1-LMU-to-Columbia,6618.0009
Wave1-LMU-to-Columbia,7127.0004
Wave1-LMU-to-Columbia,7635.001
Wave1-LMU-to-Columbia,8312.0011
Wave1-LMU-to-Columbia,8905.0012
Wave1-LMU-to-Columbia,9413.0012
Wave1-LMU-to-Columbia,10006.0013
Wave1-LMU-to-Columbia,10599.0014
Wave1-LMU-to-Columbia,11107.0014
Wave1-LMU-to-Columbia,11700.0015
Wave1-LMU-to-Columbia,12210.0002
Wave1-LMU-to-Columbia,12801.0016
Wave1-LMU-to-Columbia,13394.0017
Wave1-LMU-to-Columbia,13902.0017
Wave1-LMU-to-Columbia,14410.0018
Wave1-LMU-to-Columbia,15088.0019
Wave1-LMU-to-Columbia,15596.0019
Wave1-LMU-to-Columbia,16104.002
Wave1-LMU-to-Columbia,16697.0021
Wave1-LMU-to-Columbia,17290.0021
Wave1-LMU-to-Columbia,18137.0022
Wave1-LMU-to-Columbia,18899.0023
Wave1-LMU-to-Columbia,19746.0024
Wave1-LMU-to-Columbia,20593.0025
Wave1-LMU-to-Columbia,21440.0026
Wave1-LMU-to-Columbia,22287.0027
Wave1-LMU-to-Columbia,23134.0028
Wave1-LMU-to-Columbia,23981.0029
Wave1-LMU-to-Columbia,24828.003
Wave1-LMU-to-Columbia,25590.0031
Wave1-LMU-to-Columbia,26437.0032
Wave1-LMU-to-Columbia,27284.0033
Wave1-LMU-to-Columbia,28131.0034
Wave1-LMU-to-Columbia,28980.0018
Wave1-LMU-to-Columbia,29825.0035
Wave1-LMU-to-Columbia,30672.0036
Wave1-LMU-to-Columbia,31520.0019
Wave1-LMU-to-Columbia,32281.0038
Wave1-LMU-to-Columbia,33128.0039
Wave1-LMU-to-Columbia,33975.004
Wave1-LMU-to-Columbia,34822.0041
Wave1-LMU-to-Columbia,35669.0042
Wave1-LMU-to-Columbia,36516.0043
Wave1-LMU-to-Columbia,37363.0044
Wave1-LMU-to-Columbia,38210.0045
Wave1-LMU-to-Columbia,38972.0046
Wave1-LMU-to-Columbia,39819.0047
Wave1-LMU-to-Columbia,40666.0048
Wave1-LMU-to-Columbia,41513.0049
Wave1-LMU-to-Columbia,42360.005
Wave1-LMU-to-Columbia,43208.0029
Wave1-LMU-to-Columbia,44054.0052
Wave1-LMU-to-Columbia,44901.0053
Wave1-LMU-to-Columbia,45663.0053
Wave1-LMU-to-Columbia,46510.0054
Wave1-LMU-to-Columbia,47357.0055
Wave1-LMU-to-Columbia,48204.0056
Wave1-LMU-to-Columbia,49051.0057
Wave1-LMU-to-Columbia,49898.0058
Wave1-LMU-to-Columbia,50745.0059
Wave1-LMU-to-Columbia,51592.006
Wave1-LMU-to-Columbia,52354.0061
Wave1-LMU-to-Columbia,53201.0062
Wave1-LMU-to-Columbia,54048.0063
Wave1-LMU-to-Columbia,54896.0059
Wave1-LMU-to-Columbia,55742.0065
Wave1-LMU-to-Columbia,56428.0061
Wave1-LMU-to-Columbia,58199.0067
Wave1-LMU-to-Columbia,58538.0068
Wave1-LMU-to-Columbia,58792.0068
Wave1-LMU-to-Columbia,59893.0069
Wave1-LMU-to-Columbia,60147.007
Wave1-LMU-to-Columbia,60486.007
Wave1-LMU-to-Columbia,61503.0043
Wave1-LMU-to-Columbia,61841.0071
Wave1-LMU-to-Columbia,62180.0072
Wave1-LMU-to-Columbia,63196.0073
Wave1-LMU-to-Columbia,63536.0045
Wave1-LMU-to-Columbia,63791.0046
Wave1-LMU-to-Columbia,65822.0076
Wave1-LMU-to-Columbia,67262.0078
Wave1-LMU-to-Columbia,67516.0078
Wave1-LMU-to-Columbia,69125.008
Wave1-LMU-to-Columbia,69464.008
Wave1-LMU-to-Columbia,69803.008
Wave1-LMU-to-Columbia,70819.0082
Wave1-LMU-to-Columbia,71158.0082
Wave1-LMU-to-Columbia,71412.0082
Wave1-LMU-to-Columbia,72513.0083
Wave1-LMU-to-Columbia,72767.0084
Wave1-LMU-to-Columbia,73110.0054
Wave1-LMU-to-Columbia,74461.0086
Wave1-LMU-to-Columbia,74800.0086
Wave1-LMU-to-Columbia,76494.0088
Wave1-LMU-to-Columbia,78103.009
Wave1-LMU-to-Columbia,79458.0091
Wave1-LMU-to-Columbia,79798.0058
Wave1-LMU-to-Columbia,80051.0092
Wave1-LMU-to-Columbia,81660.0094
Wave1-LMU-to-Columbia,81999.0094
Wave1-LMU-to-Columbia,82346.0089
Wave1-LMU-to-Columbia,83354.0096
Wave1-LMU-to-Columbia,83693.0096
Wave1-LMU-to-Columbia,85048.0098
Wave1-LMU-to-Columbia,85388.0091
Wave1-LMU-to-Columbia,86996.01
Wave1-LMU-to-Columbia,87335.01
Wave1-LMU-to-Columbia,88690.0102
Wave1-LMU-to-Columbia,89029.0102
Wave1-LMU-to-Columbia,90045.0103
Wave1-LMU-to-Columbia,91739.0105
Wave1-LMU-to-Columbia,92078.0106
Wave1-LMU-to-Columbia,93433.0107
Wave1-LMU-to-Columbia,93687.0107
Wave1-LMU-to-Columbia,94027.0069
Wave1-LMU-to-Columbia,95042.0109
Wave1-LMU-to-Columbia,95381.0109
Wave1-LMU-to-Columbia,95720.011
Wave1-LMU-to-Columbia,96736.0111
Wave1-LMU-to-Columbia,97075.0111
Wave1-LMU-to-Columbia,98430.0113
Wave1-LMU-to-Columbia,98769.0113
Wave1-LMU-to-Columbia,99026.0106
Wave1-LMU-to-Columbia,100378.0115
Wave1-LMU-to-Columbia,100717.0115
Wave1-LMU-to-Columbia,102072.0117
Wave1-LMU-to-Columbia,102411.0117
Wave1-LMU-to-Columbia,103766.0119
Wave1-LMU-to-Columbia,104020.0119
Wave1-LMU-to-Columbia,105714.0121
Wave1-LMU-to-Columbia,105968.0121
Wave1-LMU-to-Columbia,107662.0123
Wave1-LMU-to-Columbia,108763.0125
Wave1-LMU-to-Columbia,109271.0125
Wave1-LMU-to-Columbia,110711.0127
Wave1-LMU-to-Columbia,111305.0118
Wave1-LMU-to-Columbia,112830.012
Wave1-LMU-to-Columbia,113507.013
Wave1-TUB-to-MIT,377.0002
Wave1-TUB-to-MIT,466.0002
Wave1-TUB-to-MIT,555.0002
Wave1-TUB-to-MIT,644.0002
Wave1-TUB-to-MIT,733.0003
Wave1-TUB-to-MIT,822.0003
Wave1-TUB-to-MIT,911.0003
Wave1-TUB-to-MIT,1000.0003
Wave1-TUB-to-MIT,1089.0003
Wave1-TUB-to-MIT,1178.0003
Wave1-TUB-to-MIT,1267.0003
Wave1-TUB-to-MIT,1356.0003
Wave1-TUB-to-MIT,1445.0003
Wave1-TUB-to-MIT,1534.0003
Wave1-TUB-to-MIT,1623.0003
Wave1-TUB-to-MIT,1712.0004
Wave1-TUB-to-MIT,1801.0004
Wave1-TUB-to-MIT,1890.0004
